locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDJNIECG_00053	CDS	870	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
DDJNIECG_00054	CDS	858	purR_1		COG0503	Pur operon repressor
DDJNIECG_00055	CDS	378	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
DDJNIECG_00056	CDS	294	spoVG		COG2088	Putative septation protein SpoVG
DDJNIECG_00057	CDS	1371	glmU			Bifunctional protein GlmU
DDJNIECG_00058	CDS	954	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
DDJNIECG_00059	CDS	615	ctc		COG1825	General stress protein CTC
DDJNIECG_00060	CDS	567	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
DDJNIECG_00061	CDS	231	fin			Anti-sigma-F factor Fin
DDJNIECG_00062	CDS	3534	mfd	3.6.4.-		Transcription-repair-coupling factor
DDJNIECG_00063	CDS	537	spoVT		COG2002	Stage V sporulation protein T
DDJNIECG_00064	CDS	1599	murJ_1		COG2244	Lipid II flippase MurJ
DDJNIECG_00065	CDS	1470				hypothetical protein
DDJNIECG_00066	CDS	261			COG1188	putative protein
DDJNIECG_00067	CDS	303	yabP			Spore protein YabP
DDJNIECG_00068	CDS	636	yabQ			Spore protein YabQ
DDJNIECG_00069	CDS	378	divIC		COG2919	Cell division protein DivIC
DDJNIECG_00070	CDS	387	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
DDJNIECG_00071	tRNA	77				tRNA-Met(cat)
DDJNIECG_00072	tRNA	76				tRNA-Glu(ttc)
DDJNIECG_00073	CDS	2484	spoIIE	3.1.3.16	COG2208	Stage II sporulation protein E
DDJNIECG_00074	CDS	738				hypothetical protein
DDJNIECG_00075	CDS	1017	yabT	2.7.11.1	COG0515	putative serine/threonine-protein kinase YabT
DDJNIECG_00076	CDS	1419	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
DDJNIECG_00077	CDS	543	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
DDJNIECG_00078	CDS	1914	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
DDJNIECG_00079	CDS	777	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
DDJNIECG_00080	CDS	876	hslO		COG1281	33 kDa chaperonin
DDJNIECG_00081	CDS	852	prsA2	5.2.1.8	COG0760	Foldase protein PrsA 2
DDJNIECG_00082	CDS	927	cysK_1	2.5.1.47	COG0031	Cysteine synthase
DDJNIECG_00083	CDS	1413	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
DDJNIECG_00084	CDS	576	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
DDJNIECG_00085	CDS	882	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
DDJNIECG_00086	CDS	858	folP	2.5.1.15		Dihydropteroate synthase
DDJNIECG_00087	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
DDJNIECG_00088	CDS	504	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
DDJNIECG_00089	CDS	210				hypothetical protein
DDJNIECG_00090	CDS	1002	dus_1	1.3.1.-	COG0042	putative tRNA-dihydrouridine synthase
DDJNIECG_00091	CDS	1500	lysS	6.1.1.6		Lysine--tRNA ligase
DDJNIECG_00092	CDS	255				hypothetical protein
DDJNIECG_00093	tRNA	76				tRNA-Val(tac)
DDJNIECG_00094	tRNA	76				tRNA-Thr(tgt)
DDJNIECG_00095	tRNA	76				tRNA-Lys(ttt)
DDJNIECG_00096	tRNA	83				tRNA-Leu(tag)
DDJNIECG_00097	tRNA	75				tRNA-Gly(gcc)
DDJNIECG_00098	tRNA	86				tRNA-Leu(taa)
DDJNIECG_00099	tRNA	77				tRNA-Arg(acg)
DDJNIECG_00100	tRNA	77				tRNA-Pro(tgg)
DDJNIECG_00101	tRNA	76				tRNA-Ala(tgc)
DDJNIECG_00102	CDS	255				hypothetical protein
DDJNIECG_00103	CDS	465	ctsR		COG4463	Transcriptional regulator CtsR
DDJNIECG_00104	CDS	348	mcsA		COG3880	Protein-arginine kinase activator protein
DDJNIECG_00105	CDS	1092	mcsB	2.7.14.1	COG3869	Protein-arginine kinase
DDJNIECG_00106	CDS	2433	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
DDJNIECG_00107	CDS	1434	radA	3.6.4.-	COG1066	DNA repair protein RadA
DDJNIECG_00108	CDS	1083	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
DDJNIECG_00109	CDS	1101	yacL	3.1.-.-	COG4956	putative PIN and TRAM-domain containing protein YacL
DDJNIECG_00110	CDS	699	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
DDJNIECG_00111	CDS	477	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
DDJNIECG_00112	CDS	1452	gltX	6.1.1.17		Glutamate--tRNA ligase
DDJNIECG_00113	CDS	654	cysE	2.3.1.30	COG1045	Serine acetyltransferase
DDJNIECG_00114	CDS	1401	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
DDJNIECG_00115	CDS	432	mrnC	3.1.26.-	COG1939	Mini-ribonuclease 3
DDJNIECG_00116	CDS	750		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
DDJNIECG_00117	CDS	513	yacP		COG3688	putative protein YacP
DDJNIECG_00118	CDS	657	sigH		COG1595	RNA polymerase sigma-H factor
DDJNIECG_00119	CDS	180	secE			Protein translocase subunit SecE
DDJNIECG_00120	CDS	570	nusG		COG0250	Transcription termination/antitermination protein NusG
DDJNIECG_00121	CDS	426	rplK		COG0080	50S ribosomal protein L11
DDJNIECG_00122	CDS	699	rplA		COG0081	50S ribosomal protein L1
DDJNIECG_00123	CDS	501	rplJ		COG0244	50S ribosomal protein L10
DDJNIECG_00124	CDS	372	rplL		COG0222	50S ribosomal protein L7/L12
DDJNIECG_00125	CDS	606	rlmG	2.1.1.174	COG2813	Ribosomal RNA large subunit methyltransferase G
DDJNIECG_00126	CDS	3582	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
DDJNIECG_00127	CDS	3600	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
DDJNIECG_00128	CDS	249	rplGB		COG1358	Ribosome-associated protein L7Ae-like protein
DDJNIECG_00129	CDS	417	rpsL		COG0048	30S ribosomal protein S12
DDJNIECG_00130	CDS	471	rpsG		COG0049	30S ribosomal protein S7
DDJNIECG_00131	CDS	2079	fusA		COG0480	Elongation factor G
DDJNIECG_00132	CDS	1191	tuf		COG0050	Elongation factor Tu
DDJNIECG_00133	CDS	957	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
DDJNIECG_00134	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
DDJNIECG_00135	CDS	630	rplC		COG0087	50S ribosomal protein L3
DDJNIECG_00136	CDS	624	rplD		COG0088	50S ribosomal protein L4
DDJNIECG_00137	CDS	288	rplW		COG0089	50S ribosomal protein L23
DDJNIECG_00138	CDS	834	rplB		COG0090	50S ribosomal protein L2
DDJNIECG_00139	CDS	279	rpsS		COG0185	30S ribosomal protein S19
DDJNIECG_00140	CDS	342	rplV		COG0091	50S ribosomal protein L22
DDJNIECG_00141	CDS	657	rpsC		COG0092	30S ribosomal protein S3
DDJNIECG_00142	CDS	435	rplP		COG0197	50S ribosomal protein L16
DDJNIECG_00143	CDS	201	rpmC		COG0255	50S ribosomal protein L29
DDJNIECG_00144	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
DDJNIECG_00145	CDS	369	rplN		COG0093	50S ribosomal protein L14
DDJNIECG_00146	CDS	312	rplX		COG0198	50S ribosomal protein L24
DDJNIECG_00147	CDS	540	rplE		COG0094	50S ribosomal protein L5
DDJNIECG_00148	CDS	186	rpsN1		COG0199	30S ribosomal protein S14
DDJNIECG_00149	CDS	399	rpsH		COG0096	30S ribosomal protein S8
DDJNIECG_00150	CDS	540	rplF		COG0097	50S ribosomal protein L6
DDJNIECG_00151	CDS	363	rplR		COG0256	50S ribosomal protein L18
DDJNIECG_00152	CDS	507	rpsE		COG0098	30S ribosomal protein S5
DDJNIECG_00153	CDS	180	rpmD		COG1841	50S ribosomal protein L30
DDJNIECG_00154	CDS	441	rplO		COG0200	50S ribosomal protein L15
DDJNIECG_00155	CDS	1296	secY			Protein translocase subunit SecY
DDJNIECG_00156	CDS	654	adk	2.7.4.3	COG0563	Adenylate kinase
DDJNIECG_00157	CDS	747	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
DDJNIECG_00158	CDS	219	infA		COG0361	Translation initiation factor IF-1
DDJNIECG_00159	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
DDJNIECG_00160	CDS	366	rpsM		COG0099	30S ribosomal protein S13
DDJNIECG_00161	CDS	396	rpsK		COG0100	30S ribosomal protein S11
DDJNIECG_00162	CDS	945	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
DDJNIECG_00163	CDS	363	rplQ		COG0203	50S ribosomal protein L17
DDJNIECG_00164	CDS	846	ecfA1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
DDJNIECG_00165	CDS	870	ecfA2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
DDJNIECG_00166	CDS	798	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
DDJNIECG_00167	CDS	744	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
DDJNIECG_00168	CDS	438	rplM		COG0102	50S ribosomal protein L13
DDJNIECG_00169	CDS	393	rpsI		COG0103	30S ribosomal protein S9
DDJNIECG_00170	CDS	768				hypothetical protein
DDJNIECG_00171	CDS	444				hypothetical protein
DDJNIECG_00172	CDS	714	cwlD	3.5.1.28	COG0860	Germination-specific N-acetylmuramoyl-L-alanine amidase
DDJNIECG_00173	CDS	1059	salA		COG0489	Iron-sulfur cluster carrier protein
DDJNIECG_00174	CDS	558	gerD			Spore germination protein GerD
DDJNIECG_00175	CDS	597				hypothetical protein
DDJNIECG_00176	CDS	765	pdaA_1	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
DDJNIECG_00177	CDS	255				hypothetical protein
DDJNIECG_00178	CDS	423				hypothetical protein
DDJNIECG_00179	tRNA	75				tRNA-Asn(gtt)
DDJNIECG_00180	tRNA	73				tRNA-Thr(ggt)
DDJNIECG_00181	tRNA	75				tRNA-Gly(gcc)
DDJNIECG_00182	tRNA	77				tRNA-Arg(acg)
DDJNIECG_00183	tRNA	77				tRNA-Pro(tgg)
DDJNIECG_00184	tRNA	76				tRNA-Ala(tgc)
DDJNIECG_00185	CDS	255				hypothetical protein
DDJNIECG_00186	CDS	255				hypothetical protein
DDJNIECG_00187	CDS	1437	bicA		COG0659	Bicarbonate transporter BicA
DDJNIECG_00188	CDS	153				hypothetical protein
DDJNIECG_00189	CDS	960	panS_1		COG0385	Pantothenate precursors transporter PanS
DDJNIECG_00190	CDS	753	ybbA		COG2819	putative protein YbbA
DDJNIECG_00191	CDS	1011	feuC_1		COG0609	Iron-uptake system permease protein FeuC
DDJNIECG_00192	CDS	1005	feuB_1		COG0609	Iron-uptake system permease protein FeuB
DDJNIECG_00193	CDS	954	feuA		COG0614	Iron-uptake system-binding protein
DDJNIECG_00194	CDS	1590	btr		COG0614	HTH-type transcriptional activator Btr
DDJNIECG_00195	CDS	1245				hypothetical protein
DDJNIECG_00196	CDS	1929	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
DDJNIECG_00197	CDS	1326	dap	3.4.11.19		D-aminopeptidase
DDJNIECG_00198	CDS	1368				PTS system EIIBC component
DDJNIECG_00199	CDS	852	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
DDJNIECG_00200	CDS	915	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
DDJNIECG_00201	CDS	483				hypothetical protein
DDJNIECG_00202	CDS	456				hypothetical protein
DDJNIECG_00203	tRNA	75				tRNA-Glu(ttc)
DDJNIECG_00204	tRNA	76				tRNA-Val(tac)
DDJNIECG_00205	tRNA	74				tRNA-Thr(tgt)
DDJNIECG_00206	tRNA	85				tRNA-Tyr(gta)
DDJNIECG_00207	tRNA	75				tRNA-Gln(ttg)
DDJNIECG_00208	CDS	564	sigW		COG1595	ECF RNA polymerase sigma factor SigW
DDJNIECG_00209	CDS	627	rsiW		COG5662	Anti-sigma-W factor RsiW
DDJNIECG_00210	CDS	822	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
DDJNIECG_00211	CDS	1452	cdaR_1		COG4856	CdaA regulatory protein CdaR
DDJNIECG_00212	CDS	1347	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
DDJNIECG_00213	CDS	1803	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
DDJNIECG_00214	CDS	912	alkA	3.2.2.21	COG0122	DNA-3-methyladenine glycosylase
DDJNIECG_00215	CDS	636	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
DDJNIECG_00216	CDS	540	adaB	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, inducible
DDJNIECG_00217	CDS	1518	ndhB	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
DDJNIECG_00218	CDS	2616				hypothetical protein
DDJNIECG_00219	CDS	528				hypothetical protein
DDJNIECG_00220	CDS	291				hypothetical protein
DDJNIECG_00221	CDS	375				hypothetical protein
DDJNIECG_00222	CDS	303				hypothetical protein
DDJNIECG_00223	CDS	1173	pbuE_1		COG2814	Purine efflux pump PbuE
DDJNIECG_00224	CDS	168	skfA			Sporulation killing factor
DDJNIECG_00225	CDS	1233	skfB	1.21.98.-	COG0535	Sporulation killing factor maturation protein SkfB
DDJNIECG_00226	CDS	1491	skfC			Sporulation-killing factor biosynthesis protein SkfC
DDJNIECG_00227	CDS	720	skfE	3.6.3.25	COG1131	SkfA peptide export ATP-binding protein SkfE
DDJNIECG_00228	CDS	1344	skfF			Putative bacteriocin-SkfA transport system permease protein SkfF
DDJNIECG_00229	CDS	516	skfG			putative protein SkfG
DDJNIECG_00230	CDS	426	skfH		COG0526	Thioredoxin-like protein SkfH
DDJNIECG_00231	CDS	978				hypothetical protein
DDJNIECG_00232	CDS	672	copR			Transcriptional activator protein CopR
DDJNIECG_00233	CDS	987				hypothetical protein
DDJNIECG_00234	CDS	264				hypothetical protein
DDJNIECG_00235	CDS	771	ybdM	2.7.11.1	COG0515	putative serine/threonine-protein kinase YbdM
DDJNIECG_00236	CDS	858				hypothetical protein
DDJNIECG_00237	CDS	1185				hypothetical protein
DDJNIECG_00238	CDS	1389	yifK		COG1113	putative transport protein YifK
DDJNIECG_00239	CDS	249				hypothetical protein
DDJNIECG_00240	CDS	192				hypothetical protein
DDJNIECG_00241	CDS	804	ybxI	3.5.2.6	COG2602	putative beta-lactamase YbxI
DDJNIECG_00242	CDS	1254	cypC	1.11.2.4	COG2124	Fatty-acid peroxygenase
DDJNIECG_00243	CDS	261				hypothetical protein
DDJNIECG_00244	CDS	1620	yveA_1		COG0531	Aspartate-proton symporter
DDJNIECG_00245	CDS	882	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
DDJNIECG_00246	CDS	1335	glpT		COG2271	Glycerol-3-phosphate transporter
DDJNIECG_00247	CDS	249				hypothetical protein
DDJNIECG_00248	CDS	918				hypothetical protein
DDJNIECG_00249	CDS	1251				hypothetical protein
DDJNIECG_00250	CDS	912				hypothetical protein
DDJNIECG_00251	CDS	2199				hypothetical protein
DDJNIECG_00252	CDS	921	yhbE		COG0697	putative inner membrane transporter YhbE
DDJNIECG_00253	CDS	828	rhaS_1			HTH-type transcriptional activator RhaS
DDJNIECG_00254	CDS	1155	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
DDJNIECG_00255	CDS	942	mpr	3.4.21.-	COG3591	Extracellular metalloprotease
DDJNIECG_00256	CDS	399				hypothetical protein
DDJNIECG_00257	CDS	891	ybfK	3.1.1.1	COG0596	Carboxylesterase YbfK
DDJNIECG_00258	CDS	534				hypothetical protein
DDJNIECG_00259	CDS	489	dedA		COG0586	Protein DedA
DDJNIECG_00260	CDS	792	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
DDJNIECG_00261	CDS	279				hypothetical protein
DDJNIECG_00262	CDS	1341				hypothetical protein
DDJNIECG_00263	CDS	888	rhaS_2			HTH-type transcriptional activator RhaS
DDJNIECG_00264	CDS	969				hypothetical protein
DDJNIECG_00265	CDS	1245	gltP		COG1301	Proton/glutamate-aspartate symporter
DDJNIECG_00266	CDS	1896	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
DDJNIECG_00267	CDS	750	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase 1
DDJNIECG_00268	CDS	708	dasR		COG2188	HTH-type transcriptional repressor DasR
DDJNIECG_00269	CDS	276	ybgB		COG5658	putative membrane protein YbgB
DDJNIECG_00270	CDS	1071	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid transaminase 1
DDJNIECG_00271	CDS	1413	rocC_1		COG0833	Amino-acid permease RocC
DDJNIECG_00272	CDS	948	mmuM	2.1.1.10	COG2040	Homocysteine S-methyltransferase
DDJNIECG_00273	CDS	1437	alsT_1		COG1115	Amino-acid carrier protein AlsT
DDJNIECG_00274	CDS	984	glsA1	3.5.1.2	COG2066	Glutaminase 1
DDJNIECG_00275	CDS	1353	glnK	2.7.13.3	COG0642	Sensor histidine kinase GlnK
DDJNIECG_00276	CDS	945	cheB_1	3.1.1.61		Chemotaxis response regulator protein-glutamate methylesterase
DDJNIECG_00277	CDS	927		4.2.1.41	COG0329	putative 5-dehydro-4-deoxyglucarate dehydratase
DDJNIECG_00278	CDS	1500	aldHT	1.2.1.5		Aldehyde dehydrogenase, thermostable
DDJNIECG_00279	CDS	1368	gudP			putative glucarate transporter
DDJNIECG_00280	CDS	1368	gudD	4.2.1.40	COG4948	Glucarate dehydratase
DDJNIECG_00281	CDS	702	lutR_1		COG2186	HTH-type transcriptional regulator LutR
DDJNIECG_00282	CDS	1533	garD	4.2.1.42	COG2721	Galactarate dehydratase (L-threo-forming)
DDJNIECG_00283	CDS	921				hypothetical protein
DDJNIECG_00284	CDS	162	rtpA			Tryptophan RNA-binding attenuator protein inhibitory protein
DDJNIECG_00285	CDS	939				hypothetical protein
DDJNIECG_00286	CDS	681	walR_1		COG0745	Transcriptional regulatory protein WalR
DDJNIECG_00287	CDS	936	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
DDJNIECG_00288	CDS	924	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
DDJNIECG_00289	CDS	687				hypothetical protein
DDJNIECG_00290	CDS	387				hypothetical protein
DDJNIECG_00291	CDS	429	cwlJ		COG3773	Cell wall hydrolase CwlJ
DDJNIECG_00292	CDS	732				hypothetical protein
DDJNIECG_00293	CDS	1752	phoD	3.1.3.1	COG3540	Alkaline phosphatase D
DDJNIECG_00294	CDS	213	tatAd			Sec-independent protein translocase protein TatAd
DDJNIECG_00295	CDS	729	tatC1		COG0805	Sec-independent protein translocase protein TatCd
DDJNIECG_00296	CDS	648	pcp	3.4.19.3	COG2039	Pyrrolidone-carboxylate peptidase
DDJNIECG_00297	CDS	1113	csd	2.8.1.7		putative cysteine desulfurase
DDJNIECG_00298	CDS	1434	emrY_1			putative multidrug resistance protein EmrY
DDJNIECG_00299	CDS	567	yxaF_1			putative HTH-type transcriptional regulator YxaF
DDJNIECG_00300	CDS	1128	ansZ	3.5.1.1	COG0252	L-asparaginase 2
DDJNIECG_00301	CDS	639	estA	3.1.1.3		Lipase EstA
DDJNIECG_00302	CDS	384				hypothetical protein
DDJNIECG_00303	CDS	1077				hypothetical protein
DDJNIECG_00304	CDS	957				hypothetical protein
DDJNIECG_00305	CDS	702	natR		COG3279	Transcriptional regulatory protein NatR
DDJNIECG_00306	CDS	741	natA		COG4555	ABC transporter ATP-binding protein NatA
DDJNIECG_00307	CDS	1161	natB		COG1668	ABC transporter permease protein NatB
DDJNIECG_00308	CDS	933	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
DDJNIECG_00309	CDS	1065	ycdA			putative lipoprotein YcdA
DDJNIECG_00310	CDS	1419				hypothetical protein
DDJNIECG_00311	CDS	1500				hypothetical protein
DDJNIECG_00312	CDS	504	cwlK	3.4.-.-		Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK
DDJNIECG_00313	CDS	1122	rapJ	3.1.-.-		Response regulator aspartate phosphatase J
DDJNIECG_00314	CDS	777	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
DDJNIECG_00315	CDS	1686	ycdG	3.2.1.10	COG0366	putative oligo-1,6-glucosidase 2
DDJNIECG_00316	CDS	960	znuA		COG0803	High-affinity zinc uptake system binding-protein ZnuA
DDJNIECG_00317	CDS	696	znuC_1	3.6.3.-	COG1121	High-affinity zinc uptake system ATP-binding protein ZnuC
DDJNIECG_00318	CDS	843	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
DDJNIECG_00319	CDS	996				hypothetical protein
DDJNIECG_00320	CDS	600	yceC		COG2310	Stress response protein SCP2
DDJNIECG_00321	CDS	582	yceD_1		COG2310	General stress protein 16U
DDJNIECG_00322	CDS	579	yceD_2		COG2310	General stress protein 16U
DDJNIECG_00323	CDS	774				hypothetical protein
DDJNIECG_00324	CDS	1614				hypothetical protein
DDJNIECG_00325	CDS	1092				TelA-like protein
DDJNIECG_00326	CDS	1203	naiP			Putative niacin/nicotinamide transporter NaiP
DDJNIECG_00327	CDS	1173	pbuE_2		COG2814	Purine efflux pump PbuE
DDJNIECG_00328	CDS	288				hypothetical protein
DDJNIECG_00329	CDS	1257	opuAA	3.6.3.32	COG4175	Glycine betaine transport ATP-binding protein OpuAA
DDJNIECG_00330	CDS	849	opuAB		COG4176	Glycine betaine transport system permease protein OpuAB
DDJNIECG_00331	CDS	882	opuAC		COG2113	Glycine betaine-binding protein OpuAC
DDJNIECG_00332	CDS	1152	yxeP_1	3.-.-.-	COG1473	putative hydrolase YxeP
DDJNIECG_00333	CDS	1434				hypothetical protein
DDJNIECG_00334	CDS	582				hypothetical protein
DDJNIECG_00335	CDS	1980	amyE	3.2.1.1		Alpha-amylase
DDJNIECG_00336	CDS	966	ldh_1	1.1.1.27	COG0039	L-lactate dehydrogenase
DDJNIECG_00337	CDS	1626	lctP		COG1620	L-lactate permease
DDJNIECG_00338	CDS	1539	bmr3_1			Multidrug resistance protein 3
DDJNIECG_00339	CDS	465				hypothetical protein
DDJNIECG_00340	CDS	630				hypothetical protein
DDJNIECG_00341	CDS	762				hypothetical protein
DDJNIECG_00342	CDS	1341	aroP		COG1113	Aromatic amino acid transport protein AroP
DDJNIECG_00343	CDS	597				hypothetical protein
DDJNIECG_00344	CDS	819	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
DDJNIECG_00345	CDS	594	tmrB			Tunicamycin resistance protein
DDJNIECG_00346	CDS	561	aroK	2.7.1.71	COG0703	Shikimate kinase
DDJNIECG_00347	CDS	762	ycgJ	2.1.1.-		putative methyltransferase YcgJ
DDJNIECG_00348	CDS	975	oxyR			Hydrogen peroxide-inducible genes activator
